기자,reporter,박혜진 기자가 기사를 작성했다.,Reporter Park Hye-jin wrote the article.,Common in news bylines
프로모션,promotion,새 앨범 프로모션을 시작했다.,They started album promotions.,Loanword widely used in entertainment
가장 먼저,first / earliest,한국에서 가장 먼저 공개했다.,It was revealed first in Korea.,Emphasizes priority
시작하다,to start,프로모션을 시작했다.,They started promotions.,Neutral, very common verb
컴백,comeback,완전체로 컴백한다.,They are making a comeback as a full group.,K-pop specific loanword
신호탄,signal / opening shot,서울에서 컴백 신호탄을 쐈다.,They fired the opening signal for their comeback in Seoul.,Metaphorical, journalistic tone
측,side / representative,방탄소년단 측은 공식 입장을 밝혔다.,BTS’s side released an official statement.,Formal media usage
지난,previous / last,지난 5일에 공개했다.,It was revealed on the 5th.,Used with dates
새기다,to engrave / inscribe,계단에 로고를 새겼다.,They engraved the logo on the stairs.,Literal + symbolic usage
발매,release,앨범 발매 일자가 공개됐다.,The album release date was revealed.,Used for music, products
문화예술,culture and arts,문화예술을 상징하는 공간이다.,It is a space symbolizing culture and arts.,Formal, institutional term
상징하다,to symbolize,한국 문화를 상징한다.,It symbolizes Korean culture.,Abstract, descriptive verb
공간,space / venue,역사적인 공간에서 행사를 열었다.,They held the event at a historic venue.,Physical + conceptual use
성장하다,to grow,글로벌 팀으로 성장했다.,They grew into a global team.,Used for people, companies, groups
전 세계,the whole world,전 세계를 무대로 활동한다.,They perform on the world stage.,Common media phrase
무대,stage,세계를 무대로 삼다.,To take the world as one’s stage.,Metaphorical expression
완전체,full lineup / full group,오랜만에 완전체로 돌아왔다.,They returned as a full group after a long time.,Idol-industry specific term
뿌리,roots,문화적 뿌리를 강조했다.,They emphasized their cultural roots.,Figurative, identity-related
한복판,center / heart,서울 한복판에서 진행됐다.,It took place in the heart of Seoul.,Emphasizes central location
오프라인,offline,오프라인 프로모션을 진행했다.,They carried out offline promotions.,Contrasts with online
