길,street; road,"이 길로 가세요.","Please go this way.","Very basic noun"
출퇴근 시간,rush hour,"출퇴근 시간에는 길이 막힌다.","The roads are congested during rush hour.","Very common daily expression"
운전하다,to drive,"제가 운전할게요.","I’ll drive.","Basic verb"
통근자,commuter,"통근자가 많다.","There are many commuters.","Formal/neutral noun"
대중교통,public transport,"대중교통을 이용해요.","I use public transport.","Includes bus, subway, train"
돌다,to turn,"여기서 오른쪽으로 도세요.","Turn right here.","Used for directions"
운전자,driver,"운전자는 주의해야 한다.","Drivers must be careful.","Formal noun"
택시,taxi,"택시를 탔어요.","I took a taxi.","Everyday word"
통근하다,to commute,"서울로 통근해요.","I commute to Seoul.","Verb form of commuter"
승객,passenger,"승객이 내렸다.","The passenger got off.","Transport-related"
택시 승차장,taxi rank,"택시 승차장이 앞에 있어요.","The taxi rank is ahead.","Common sign term"
택시를 타다,to take a taxi,"비 와서 택시를 탔어요.","It was raining so I took a taxi.","Fixed expression"
보행자,pedestrian,"보행자를 조심하세요.","Watch out for pedestrians.","Traffic safety term"
방향,direction,"방향이 맞아요.","The direction is correct.","Navigation word"
지도,map,"지도를 봤어요.","I looked at the map.","Physical or digital"
교통,traffic,"교통이 복잡하다.","Traffic is heavy.","General term"
경로,route,"가장 빠른 경로예요.","This is the fastest route.","Used with navigation"
표지판,road sign,"표지판을 보세요.","Look at the sign.","Traffic signage"
교통 체증,traffic jam,"교통 체증이 심하다.","There is heavy traffic.","Very common phrase"
걷다,to walk,"집까지 걸어요.","I walk home.","Basic verb"
시간표,timetable; schedule,"시간표를 확인하세요.","Check the timetable.","Transport & school use"
길,street; road,"이 길로 가세요.","Please go this way.","Very basic noun"
출퇴근 시간,rush hour,"출퇴근 시간에는 길이 막힌다.","The roads are congested during rush hour.","Very common daily expression"
운전하다,to drive,"제가 운전할게요.","I’ll drive.","Basic verb"
통근자,commuter,"통근자가 많다.","There are many commuters.","Formal/neutral noun"
대중교통,public transport,"대중교통을 이용해요.","I use public transport.","Includes bus, subway, train"
돌다,to turn,"여기서 오른쪽으로 도세요.","Turn right here.","Used for directions"
운전자,driver,"운전자는 주의해야 한다.","Drivers must be careful.","Formal noun"
택시,taxi,"택시를 탔어요.","I took a taxi.","Everyday word"
통근하다,to commute,"서울로 통근해요.","I commute to Seoul.","Verb form of commuter"
승객,passenger,"승객이 내렸다.","The passenger got off.","Transport-related"
택시 승차장,taxi rank,"택시 승차장이 앞에 있어요.","The taxi rank is ahead.","Common sign term"
택시를 타다,to take a taxi,"비 와서 택시를 탔어요.","It was raining so I took a taxi.","Fixed expression"
보행자,pedestrian,"보행자를 조심하세요.","Watch out for pedestrians.","Traffic safety term"
방향,direction,"방향이 맞아요.","The direction is correct.","Navigation word"
지도,map,"지도를 봤어요.","I looked at the map.","Physical or digital"
교통,traffic,"교통이 복잡하다.","Traffic is heavy.","General term"
경로,route,"가장 빠른 경로예요.","This is the fastest route.","Used with navigation"
표지판,road sign,"표지판을 보세요.","Look at the sign.","Traffic signage"
교통 체증,traffic jam,"교통 체증이 심하다.","There is heavy traffic.","Very common phrase"
걷다,to walk,"집까지 걸어요.","I walk home.","Basic verb"
시간표,timetable; schedule,"시간표를 확인하세요.","Check the timetable.","Transport & school use"
운전석,driver’s seat,"운전석에 앉으세요.","Sit in the driver’s seat.","Interior"
조수석,passenger seat,"조수석에 앉았어요.","I sat in the passenger seat.","Interior"
뒷좌석,back seat,"뒷좌석이 편해요.","The back seat is comfortable.","Interior"
카시트,child seat,"아이를 카시트에 앉혔어요.","I seated the child in a car seat.","Safety-related"
엔진,engine,"엔진을 껐어요.","I turned off the engine.","Core car part"
선루프,sunroof,"선루프를 열었어요.","I opened the sunroof.","Feature"
배터리,battery,"배터리가 방전됐다.","The battery died.","Electric cars"
브레이크,brake,"브레이크를 밟아요.","Press the brake.","Control part"
액셀,accelerator,"액셀을 밟다.","Press the accelerator.","Spoken form"
에어컨,air conditioning,"에어컨을 켰어요.","I turned on the AC.","Very common"
