결합,combination; union,"두 물질이 결합했다.","The two substances combined.","Sino-Korean noun; used in abstract, technical, and scientific contexts"
걔,that kid; him/her (casual),"걔는 항상 늦게 와.","That kid always comes late.","Very casual spoken pronoun; informal"
개선(凱旋),triumphant return,"선수들이 우승 후 개선했다.","The athletes made a triumphant return after winning.","Sino-Korean word; mostly used in formal or written contexts"
간접적,indirect,"그는 간접적인 표현을 사용했다.","He used an indirect expression.","Adjective; opposite of direct"
경비,security; guard,"경비가 건물을 지키고 있다.","Security is guarding the building.","Refers to both the job and the act of guarding"
개다,fold up,"이불을 개어라.","Fold up the blanket.","More everyday than 접다 in some contexts"
건널목,railroad crossing; crosswalk,"건널목에서 멈추세요.","Stop at the railroad crossing.","Meaning depends on context"
게시,posting,"공지사항이 게시되었다.","The notice was posted.","Formal and written usage"
경계(警戒),guard; caution,"경계를 늦추지 마라.","Do not lower your guard.","Noun; includes sense of vigilance"
가리다,block; cover,"구름이 해를 가렸다.","The clouds covered the sun.","Used for both physical and abstract blocking"
가져다주다,bring; deliver,"친구에게 책을 가져다주었다.","I brought the book to my friend.","Compound verb: bring + give"
감소,reduction; decrease,"매출이 감소했다.","Sales decreased.","Commonly used with numbers or quantities"
경고,warning,"경고를 무시하지 마세요.","Please do not ignore the warning.","Noun; verb form is 경고하다"
가습기,humidifier,"겨울에는 가습기가 필요하다.","A humidifier is necessary in winter.","Household appliance"
경제,economy; economics,"경제가 회복되고 있다.","The economy is recovering.","Refers to both system and academic field"
걷다,harvest; collect,"세금을 걷다.","Collect taxes.","Different verb from 'to walk' (homonym)"
게시판,bulletin board,"게시판을 확인하세요.","Please check the bulletin board.","Used both online and offline"
간격,interval; gap,"의자 사이 간격을 유지하세요.","Keep a distance between the chairs.","Physical or temporal spacing"
-객(-客),person; guest,"관광객이 많다.","There are many tourists.","Suffix meaning a type of person"
건지다,rescue; retrieve,"물에 빠진 아이를 건졌다.","They rescued the child who fell into the water.","Can also mean gaining something beneficial"

