대체로 맑다,mostly clear,"오늘 날씨는 대체로 맑다.","Today’s weather is mostly clear.","Common weather report expression"
포근하다,mild; warm and comfortable,"날씨가 포근하다.","The weather is mild and comfortable.","Often used for pleasant winter or spring weather"
수준,level; standard,"이 제품은 품질 수준이 높다.","This product has a high quality level.","Used in abstract evaluations"
비교적,relatively,"비교적 조용한 동네다.","It is a relatively quiet neighborhood.","Softens statements; very common"
다소,slightly; somewhat,"다소 비싸다.","It is somewhat expensive.","Polite and indirect modifier"
미세먼지,fine dust; PM,"오늘은 미세먼지가 많다.","There is a lot of fine dust today.","Common in weather and health contexts"
최저기온,lowest temperature; low,"내일 최저기온은 영하 5도다.","Tomorrow’s low is minus five degrees.","Used in weather forecasts"
최고기온,highest temperature; high,"오늘 최고기온은 10도다.","Today’s high is 10 degrees.","Used in weather forecasts"
기온,air temperature,"기온이 많이 떨어졌다.","The air temperature dropped a lot.","Refers to outdoor air temperature"
온도,temperature,"물의 온도를 재다.","Measure the temperature of the water.","General temperature of objects or spaces"
체온,body temperature,"체온이 높다.","His body temperature is high.","Medical and health-related term"
열,heat; fever,"열이 있어서 쉬고 있다.","I’m resting because I have a fever.","Can mean physical heat or illness"
